recurso;mascara;id_documento;status;Entidad
IP;200.33.10.0/23;MX-UPAE-LACNIC;ASSIGNED;LACNIC
IP;200.33.12.0/23;MX-UPAE-LACNIC;ASSIGNED;LACNIC
IP;200.13.38.0/23;MX-GISC-LACNIC;ASSIGNED;LACNIC
IP;200.4.16.0/20;CO-EDIN-LACNIC;ASSIGNED;LACNIC
IP;200.11.34.0/23;PE-UNPA-LACNIC;ASSIGNED;LACNIC
IP;200.23.57.0/24;MX-ITME-LACNIC;ASSIGNED;LACNIC
IP;200.34.128.0/24;MX-ITME-LACNIC;ASSIGNED;LACNIC
IP;200.33.54.0/24;MX-MSGR-LACNIC;ASSIGNED;LACNIC
IP;200.3.192.0/23;CO-ICES-LACNIC;ASSIGNED;LACNIC
IP;200.36.0.0/19;MX-PSCV-LACNIC;ALLOCATED;LACNIC
IP;200.53.224.0/20;MX-UABJ-LACNIC;ASSIGNED;LACNIC
IP;146.83.0.0/16;CL-RUNA1-LACNIC;ASSIGNED;LACNIC
IP;164.77.0.0/16;CL-ISBA-LACNIC;ALLOCATED;LACNIC
IP;200.10.255.0/24;CL-ULAM-LACNIC;ASSIGNED;LACNIC
IP;148.207.0.0/16;MX-CNCY-LACNIC;ASSIGNED;LACNIC
IP;200.10.139.0/24;AR-GEIN1-LACNIC;ASSIGNED;LACNIC
IP;200.10.140.0/24;AR-SCSA1-LACNIC;ASSIGNED;LACNIC
IP;200.33.50.0/24;MX-NSCV2-LACNIC;ASSIGNED;LACNIC
IP;200.14.68.0/22;CL-UNVA-LACNIC;ASSIGNED;LACNIC
IP;200.24.0.0/21;CO-IESI-LACNIC;ASSIGNED;LACNIC
IP;200.23.253.0/24;MX-UTLM-LACNIC;ASSIGNED;LACNIC
IP;192.100.170.0/24;MX-UTLM-LACNIC;ASSIGNED;LACNIC
IP;200.33.246.0/23;MX-INTE1-LACNIC;ASSIGNED;LACNIC
IP;200.9.128.0/24;CL-FAIN-LACNIC;ASSIGNED;LACNIC
IP;192.231.140.0/24;CL-FAIN-LACNIC;ASSIGNED;LACNIC
IP;169.158.0.0/16;CU-CNIA-LACNIC;ASSIGNED;LACNIC
IP;200.12.130.0/24;CL-UNMA-LACNIC;ASSIGNED;LACNIC
;;;;
IP;200.1.192.0/21;CO-GRIN-LACNIC;ALLOCATED;LACNIC
IP;200.16.65.0/24;AR-MCYE-LACNIC;ASSIGNED;LACNIC
;;;;
;;;;
;;;;
;;;;
;;;;
IP;200.16.8.0/21;MU-ANIC-LACNIC;ASSIGNED;LACNIC
IP;200.23.186.0/23;MX-ITSO3-LACNIC;ASSIGNED;LACNIC
IP;192.100.166.0/24;MX-ITSO3-LACNIC;ASSIGNED;LACNIC
IP;192.231.110.0/24;CL-ORSA7-LACNIC;ASSIGNED;LACNIC
IP;140.148.0.0/16;MX-ULAM2-LACNIC;ASSIGNED;LACNIC
IP;200.12.154.0/24;AR-PAHO-LACNIC;ASSIGNED;LACNIC
IP;200.0.160.0/22;CL-BACO2-LACNIC;ASSIGNED;LACNIC
IP;161.190.0.0/16;AR-BGYB1-LACNIC;ASSIGNED;LACNIC
IP;200.33.188.0/22;MX-ICSC1-LACNIC;ASSIGNED;LACNIC
IP;148.249.0.0/16;MX-GRIR-LACNIC;ASSIGNED;LACNIC
IP;200.6.20.0/24;EC-INCA-LACNIC;ASSIGNED;LACNIC
IP;200.4.8.0/24;MX-CNAG-LACNIC;ASSIGNED;LACNIC
;;;;
;;;;
IP;192.100.160.0/24;MX-RUTY-LACNIC;ASSIGNED;LACNIC
IP;192.100.167.0/24;MX-SESE1-LACNIC;ASSIGNED;LACNIC
IP;192.100.207.0/24;MX-SISC6-LACNIC;ASSIGNED;LACNIC
IP;192.100.209.0/24;MX-CBAS-LACNIC;ASSIGNED;LACNIC
IP;192.100.210.0/24;MX-CCMO1-LACNIC;ASSIGNED;LACNIC
IP;192.100.211.0/24;MX-CBMO1-LACNIC;ASSIGNED;LACNIC
IP;192.100.212.0/24;MX-BAUN-LACNIC;ASSIGNED;LACNIC
IP;192.100.184.0/23;MX-BMVS1-LACNIC;ASSIGNED;LACNIC
IP;192.100.216.0/24;MX-BMVS1-LACNIC;ASSIGNED;LACNIC
IP;192.100.217.0/24;MX-CNIY1-LACNIC;ASSIGNED;LACNIC
IP;192.100.218.0/24;MX-CMAC1-LACNIC;ASSIGNED;LACNIC
IP;192.100.219.0/24;MX-COIN2-LACNIC;ASSIGNED;LACNIC
IP;192.100.221.0/24;MX-CMAC2-LACNIC;ASSIGNED;LACNIC
IP;192.100.222.0/24;MX-VBMS-LACNIC;ASSIGNED;LACNIC
IP;192.100.231.0/24;MX-AYVM1-LACNIC;ASSIGNED;LACNIC
IP;192.100.235.0/24;MX-VFSC-LACNIC;ASSIGNED;LACNIC
IP;192.100.236.0/24;MX-BOSA-LACNIC;ASSIGNED;LACNIC
IP;192.100.203.0/24;MX-PISC8-LACNIC;ASSIGNED;LACNIC
IP;192.100.237.0/24;MX-PISC8-LACNIC;ASSIGNED;LACNIC
IP;192.100.238.0/23;MX-PISC8-LACNIC;ASSIGNED;LACNIC
IP;192.100.240.0/24;MX-PISC8-LACNIC;ASSIGNED;LACNIC
IP;192.100.246.0/24;MX-GFAB-LACNIC;ASSIGNED;LACNIC
IP;192.100.249.0/24;MX-GFSU-LACNIC;ASSIGNED;LACNIC
IP;192.100.250.0/24;MX-BPSA-LACNIC;ASSIGNED;LACNIC
IP;200.33.186.0/24;MX-IMPE-LACNIC;ASSIGNED;LACNIC
IP;192.100.180.0/23;MX-IMPE-LACNIC;ASSIGNED;LACNIC
;;;;
;;;;
IP;192.188.58.0/24;EC-EPEJ-LACNIC;ASSIGNED;LACNIC
IP;200.16.96.0/20;AR-MREC1-LACNIC;ASSIGNED;LACNIC
IP;204.87.169.0/24;CL-UTFS4-LACNIC;ASSIGNED;LACNIC
IP;192.100.188.0/24;MX-UTNE1-LACNIC;ASSIGNED;LACNIC
IP;196.32.32.0/19;TT-INLT1-LACNIC;ALLOCATED;LACNIC
IP;192.188.53.0/24;EC-USFQ-LACNIC;ASSIGNED;LACNIC
;;;;
;;;;
;;;;
;;;;
IP;200.10.186.0/24;AR-CCCI-LACNIC;ASSIGNED;LACNIC
IP;157.100.0.0/16;EC-ECEI3-LACNIC;ASSIGNED;LACNIC
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
